ts, default broker, SPOT, COLDPower18, AgentUDE, Bunnie, total
1099, 6645, 182, 0, 8, 50676, 57511
1105, 6782, 90, 0, 14, 50625, 57511
1111, 6634, 92, 0, 10, 50775, 57511
1117, 6780, 92, 0, 11, 50628, 57511
1123, 6840, 93, 0, 10, 50568, 57511
1129, 6785, 91, 0, 14, 50621, 57511
1135, 6841, 90, 0, 13, 50567, 57511
1141, 6880, 91, 0, 14, 50526, 57511
1147, 6663, 92, 0, 14, 50742, 57511
1153, 6685, 93, 0, 13, 50720, 57511
1159, 6749, 93, 0, 7, 50662, 57511
1165, 6612, 92, 0, 8, 50799, 57511
1171, 6661, 91, 0, 8, 50751, 57511
1177, 6696, 93, 0, 6, 50716, 57511
1183, 6768, 92, 0, 7, 50644, 57511
1189, 6810, 93, 0, 8, 50600, 57511
1195, 6837, 94, 0, 9, 50571, 57511
1201, 6841, 92, 0, 8, 50570, 57511
1207, 6858, 90, 0, 7, 50556, 57511
1213, 6933, 91, 0, 9, 50478, 57511
1219, 6921, 90, 0, 9, 50491, 57511
1225, 6905, 90, 0, 10, 50506, 57511
1231, 6883, 91, 0, 10, 50527, 57511
1237, 6835, 91, 0, 12, 50573, 57511
1243, 6844, 92, 0, 12, 50563, 57511
1249, 6881, 93, 0, 10, 50527, 57511
1255, 6928, 92, 0, 8, 50483, 57511
1261, 6958, 91, 0, 7, 50455, 57511
1267, 6972, 91, 0, 8, 50440, 57511
1273, 6984, 92, 0, 6, 50429, 57511
1279, 6976, 93, 0, 11, 50431, 57511
1285, 6815, 95, 0, 6, 50595, 57511
1291, 6844, 93, 0, 12, 50562, 57511
1297, 6841, 92, 0, 12, 50566, 57511
1303, 6874, 91, 0, 11, 50535, 57511
1309, 6843, 95, 0, 7, 50566, 57511
1315, 6843, 92, 0, 8, 50568, 57511
1321, 6873, 93, 0, 9, 50536, 57511
1327, 6881, 93, 0, 9, 50528, 57511
1333, 6917, 93, 0, 8, 50493, 57511
1339, 6796, 93, 0, 8, 50614, 57511
1345, 6837, 93, 0, 12, 50569, 57511
1351, 6896, 92, 0, 10, 50513, 57511
1357, 6903, 92, 0, 10, 50506, 57511
1363, 6868, 93, 0, 10, 50540, 57511
1369, 6834, 92, 0, 13, 50572, 57511
1375, 6854, 92, 0, 14, 50551, 57511
1381, 6849, 91, 0, 15, 50556, 57511
1387, 6860, 91, 0, 16, 50544, 57511
1393, 6842, 92, 0, 16, 50561, 57511
1399, 6797, 93, 0, 15, 50606, 57511
1405, 6758, 91, 0, 15, 50647, 57511
1411, 6748, 91, 0, 15, 50657, 57511
1417, 6791, 92, 0, 15, 50613, 57511
1423, 6782, 94, 0, 11, 50624, 57511
1429, 6592, 90, 0, 10, 50819, 57511
1435, 6562, 94, 0, 10, 50845, 57511
1441, 6727, 91, 0, 13, 50680, 57511
1447, 6708, 90, 0, 16, 50697, 57511
1453, 6770, 94, 0, 7, 50640, 57511
1459, 6843, 92, 0, 6, 50570, 57511
1465, 6777, 92, 0, 15, 50627, 57511
1471, 6873, 91, 0, 11, 50536, 57511
1477, 6921, 92, 0, 7, 50491, 57511
1483, 6800, 94, 0, 7, 50610, 57511
1489, 6775, 94, 0, 10, 50632, 57511
1495, 6817, 92, 0, 12, 50590, 57511
1501, 6681, 94, 0, 12, 50724, 57511
1507, 6661, 93, 0, 10, 50747, 57511
1513, 6651, 93, 0, 13, 50754, 57511
1519, 6712, 93, 0, 14, 50692, 57511
1525, 6792, 91, 0, 15, 50613, 57511
1531, 6822, 91, 0, 15, 50583, 57511
1537, 6861, 92, 0, 10, 50548, 57511
1543, 6816, 91, 0, 12, 50592, 57511
1549, 6880, 94, 0, 9, 50528, 57511
1555, 6931, 91, 0, 11, 50478, 57511
1561, 6865, 95, 0, 6, 50545, 57511
1567, 6868, 93, 0, 11, 50539, 57511
1573, 6849, 92, 0, 11, 50559, 57511
1579, 6813, 92, 0, 15, 50591, 57511
1585, 6851, 92, 0, 16, 50552, 57511
1591, 6847, 95, 0, 11, 50558, 57511
1597, 6839, 90, 0, 16, 50566, 57511
1603, 6896, 91, 0, 15, 50509, 57511
1609, 6858, 92, 0, 15, 50546, 57511
1615, 6839, 59, 0, 15, 50598, 57511
1621, 6926, 42, 0, 39, 50504, 57511
1627, 6974, 26, 0, 47, 50464, 57511
1633, 6904, 32, 0, 57, 50518, 57511
1639, 6874, 29, 0, 55, 50553, 57511
1645, 6898, 33, 0, 45, 50535, 57511
1651, 6893, 36, 0, 43, 50539, 57511
1657, 6867, 55, 0, 28, 50561, 57511
1663, 6833, 81, 0, 16, 50581, 57511
1669, 6884, 89, 0, 11, 50527, 57511
1675, 6878, 93, 0, 15, 50525, 57511
1681, 6894, 91, 0, 14, 50512, 57511
1687, 6913, 90, 0, 17, 50491, 57511
1693, 6764, 93, 0, 15, 50639, 57511
1699, 6701, 93, 0, 14, 50703, 57511
1705, 6719, 96, 0, 7, 50689, 57511
1711, 6776, 94, 0, 11, 50630, 57511
1717, 6761, 91, 0, 9, 50650, 57511
1723, 6771, 93, 0, 5, 50642, 57511
1729, 6774, 92, 0, 6, 50639, 57511
1735, 6783, 93, 0, 11, 50624, 57511
1741, 6838, 93, 0, 13, 50567, 57511
1747, 6852, 93, 0, 12, 50554, 57511
1753, 6876, 92, 0, 8, 50535, 57511
1759, 6893, 94, 0, 9, 50515, 57511
1765, 6807, 93, 0, 12, 50599, 57511
1771, 6822, 97, 0, 10, 50582, 57511
1777, 6841, 94, 0, 8, 50568, 57511
1783, 6882, 93, 0, 10, 50526, 57511
1789, 6883, 94, 0, 7, 50527, 57511
1795, 6743, 93, 0, 11, 50664, 57511
1801, 6749, 92, 0, 9, 50661, 57511
1807, 6758, 95, 0, 8, 50650, 57511
1813, 6828, 91, 0, 10, 50582, 57511
1819, 6811, 93, 0, 8, 50599, 57511
1825, 6793, 96, 0, 159, 50463, 57511
1831, 6801, 92, 0, 10, 50608, 57511
1837, 6858, 93, 0, 14, 50546, 57511
1843, 6839, 90, 0, 16, 50566, 57511
1849, 6850, 91, 0, 15, 50555, 57511
