ts, default broker, SPOT, COLDPower18, AgentUDE, Bunnie, total
1099, 6820, 239, 0, 533, 49919, 57511
1105, 6870, 240, 0, 537, 49864, 57511
1111, 6865, 239, 0, 812, 49595, 57511
1117, 6885, 239, 0, 839, 49548, 57511
1123, 6873, 212, 0, 946, 49480, 57511
1129, 6893, 183, 0, 1097, 49338, 57511
1135, 6867, 123, 0, 1306, 49215, 57511
1141, 6875, 122, 0, 1851, 48663, 57511
1147, 6868, 121, 0, 2096, 48426, 57511
1153, 6864, 121, 0, 2564, 47962, 57511
1159, 6880, 121, 0, 308, 50202, 57511
1165, 6894, 122, 0, 683, 49812, 57511
1171, 6929, 123, 0, 630, 49829, 57511
1177, 6909, 123, 0, 1577, 48902, 57511
1183, 6889, 93, 0, 1732, 48797, 57511
1189, 6834, 93, 0, 2731, 47853, 57511
1195, 6835, 93, 0, 2705, 47878, 57511
1201, 6949, 92, 0, 10, 50460, 57511
1207, 6854, 95, 0, 10, 50552, 57511
1213, 6862, 95, 0, 11, 50543, 57511
1219, 6849, 95, 0, 124, 50443, 57511
1225, 6773, 93, 0, 115, 50530, 57511
1231, 6783, 93, 0, 123, 50512, 57511
1237, 6860, 93, 0, 114, 50444, 57511
1243, 6847, 94, 0, 173, 50397, 57511
1249, 6855, 94, 0, 327, 50235, 57511
1255, 6861, 96, 0, 429, 50125, 57511
1261, 6806, 97, 0, 268, 50340, 57511
1267, 6734, 96, 0, 332, 50349, 57511
1273, 6785, 97, 0, 345, 50284, 57511
1279, 6798, 98, 0, 451, 50164, 57511
1285, 6863, 95, 0, 3313, 47240, 57511
1291, 6897, 95, 0, 4698, 45821, 57511
1297, 6883, 95, 0, 5495, 45038, 57511
1303, 6920, 96, 0, 5395, 45100, 57511
1309, 6832, 95, 0, 5567, 45017, 57511
1315, 6854, 94, 0, 5974, 44589, 57511
1321, 6897, 94, 0, 7526, 42994, 57511
1327, 6924, 94, 0, 404, 50089, 57511
1333, 6942, 95, 0, 492, 49982, 57511
1339, 6965, 96, 0, 858, 49592, 57511
1345, 6898, 96, 0, 1191, 49326, 57511
1351, 6933, 96, 0, 1129, 49353, 57511
1357, 6896, 96, 0, 1008, 49511, 57511
1363, 6821, 94, 0, 1654, 48942, 57511
1369, 6802, 93, 0, 100, 50516, 57511
1375, 6818, 94, 0, 240, 50359, 57511
1381, 6748, 94, 0, 211, 50458, 57511
1387, 6744, 95, 0, 223, 50449, 57511
1393, 6742, 95, 0, 341, 50333, 57511
1399, 6807, 95, 0, 408, 50201, 57511
1405, 6876, 95, 0, 397, 50143, 57511
1411, 6835, 97, 0, 2407, 48172, 57511
1417, 6788, 95, 0, 2522, 48106, 57511
1423, 6817, 95, 0, 2703, 47896, 57511
1429, 6887, 95, 0, 2498, 48031, 57511
1435, 6812, 94, 0, 2397, 48208, 57511
1441, 6853, 94, 0, 2819, 47745, 57511
1447, 6890, 93, 0, 3146, 47382, 57511
1453, 6837, 94, 0, 185, 50395, 57511
1459, 6798, 94, 0, 460, 50159, 57511
1465, 6848, 94, 0, 958, 49611, 57511
1471, 6883, 96, 0, 961, 49571, 57511
1477, 6926, 95, 0, 1077, 49413, 57511
1483, 6812, 93, 0, 1221, 49385, 57511
1489, 6846, 95, 0, 1305, 49265, 57511
1495, 6870, 93, 0, 497, 50051, 57511
1501, 6667, 93, 0, 1500, 49251, 57511
1507, 6735, 93, 0, 2772, 47911, 57511
1513, 6874, 92, 0, 2878, 47667, 57511
1519, 6924, 228, 0, 2786, 47573, 57511
1525, 6835, 227, 0, 2866, 47583, 57511
1531, 6910, 227, 0, 3191, 47183, 57511
1537, 6911, 228, 0, 1548, 48824, 57511
1543, 6931, 229, 0, 1561, 48790, 57511
1549, 6959, 229, 0, 2595, 47728, 57511
1555, 6960, 228, 0, 4342, 45981, 57511
1561, 6981, 169, 0, 5226, 45135, 57511
1567, 6893, 153, 0, 5116, 45349, 57511
1573, 6689, 123, 0, 5960, 44739, 57511
1579, 6713, 123, 0, 2752, 47923, 57511
1585, 6720, 93, 0, 4544, 46154, 57511
1591, 6776, 91, 0, 4556, 46088, 57511
1597, 6839, 93, 0, 5380, 45199, 57511
1603, 6887, 92, 0, 6761, 43771, 57511
1609, 6944, 92, 0, 7255, 43220, 57511
1615, 6924, 92, 0, 7456, 43039, 57511
1621, 6905, 123, 0, 2339, 48144, 57511
1627, 6872, 123, 0, 2581, 47935, 57511
1633, 6845, 123, 0, 3557, 46986, 57511
1639, 6887, 126, 0, 3638, 46860, 57511
1645, 6890, 123, 0, 4846, 45652, 57511
1651, 6877, 122, 0, 6256, 44256, 57511
1657, 6922, 124, 0, 6898, 43567, 57511
1663, 6819, 92, 0, 541, 50059, 57511
1669, 6697, 92, 0, 1143, 49579, 57511
1675, 6730, 93, 0, 1582, 49106, 57511
1681, 6768, 92, 0, 1727, 48924, 57511
1687, 6796, 93, 0, 1869, 48753, 57511
1693, 6804, 103, 0, 3001, 47603, 57511
1699, 6848, 93, 0, 3139, 47431, 57511
1705, 6840, 94, 0, 658, 49919, 57511
1711, 6889, 95, 0, 887, 49640, 57511
1717, 6921, 93, 0, 1213, 49284, 57511
1723, 6846, 93, 0, 1818, 48754, 57511
1729, 6862, 93, 0, 2302, 48254, 57511
